company_id,company_name_zh,industry,fiscal_year_min,fiscal_year_max,disclosure_rows,disclosed_field_nonnull_count,region_rows,country_rows,unique_source_count,answer_scope,prohibited_inference,missing_reason,source_run_id,view_run_id,view_version,generated_at
COMP001,华为,ICT 与电子,2018,2025,13,10,5,0,1,目录/行业/财年/通用情景/地区披露/已核验单项,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP002,联想,ICT 与电子,2018,2025,8,2,0,0,1,目录/行业/财年/通用情景/已核验单项,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP003,中兴通讯,ICT 与电子,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP004,传音控股,ICT 与电子,2018,2025,8,2,0,0,1,目录/行业/财年/通用情景/已核验单项,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP005,海尔智家,家电与消费制造,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP006,美的集团,家电与消费制造,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP007,海信家电,家电与消费制造,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP008,TCL 科技,家电与消费制造,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP009,比亚迪,汽车与新能源,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP010,上汽集团,汽车与新能源,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP011,吉利汽车,汽车与新能源,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP012,长城汽车,汽车与新能源,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP013,三一重工,工程机械与装备,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP014,徐工机械,工程机械与装备,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP015,中国中车,基建与轨道交通,2018,2025,8,24,0,0,8,目录/行业/财年/通用情景/已核验单项,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP016,中国交建,基建与轨道交通,2018,2025,11,6,3,0,3,目录/行业/财年/通用情景/地区披露/已核验单项,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP017,紫金矿业,资源与能源,2018,2025,8,4,0,0,1,目录/行业/财年/通用情景/已核验单项,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP018,洛阳钼业,资源与能源,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP019,中国海油,资源与能源,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
COMP020,中国石油,资源与能源,2018,2025,8,0,0,0,0,目录/行业/财年/通用情景,不得生成海外收入排名/企业国家重合推断/真实现金需求与持仓推断,无地区披露行;海外收入三字段(total_revenue/overseas_revenue/overseas_revenue_share)无可用值,20260820_v42_ai_review_user_confirmed,20260823_v50_a01,V5.0,2026-08-23 10:56:21 +0800
