archive_asset_id,archive_run_id,acquisition_state,content_state,extraction_state,formal_use_state,evidence_grade,redistribution_scope,raw_local_path,extracted_local_path,target_table,replacement_source,next_action,revalidation_required
LCL-0001,20260816_research_archive_v1,NOT_APPLICABLE,NOT_ACQUIRED,FAILED,EXCLUDED,内部,metadata_only,,,source_registry | case_evidence,,仅保留元数据；正式分析改用许可允许的权威替代源。,0
LCL-0002,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,CORE,A,shared,01_比赛与项目基线/本地原件/02数据创新平台.pdf,,source_registry | case_evidence,,人工复核关键字段与source_locator；通过后映射至正式source_registry。,1
LCL-0003,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/01_2022俄乌冲突-外储冻结/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0004,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/02_2022俄罗斯黄金制裁免疫/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0005,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/03_2024以色列-伊朗冲突/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0006,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/04_2012-2013土耳其-伊朗黄金换天然气/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0007,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/05_2019委内瑞拉伦敦黄金冻结/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0008,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/06_2014克里米亚危机-卢布暴跌/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0009,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/07_2018特朗普对伊制裁/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0010,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/08_2023苏丹内战黄金经济/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0011,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/调研方向与跨国企业筛选报告.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0012,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/01_1929大萧条/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0013,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/02_1933罗斯福黄金新政/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0014,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/03_1971布雷顿森林解体/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0015,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/04_1973-1980滞胀大牛市/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0016,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/06_1987黑色星期一/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0017,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/07_1997亚洲金融危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0018,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/08_2000互联网泡沫/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0019,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/09_2008全球金融危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0020,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/10_1990日本资产泡沫破裂/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0021,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/11_1994墨西哥龙舌兰危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0022,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/11_2013黄金暴跌（反面案例）/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0023,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/12_1998俄罗斯金融危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0024,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/13_2001阿根廷债务危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0025,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/14_2010欧洲主权债务危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0026,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/15_2020疫情全球市场崩盘/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0027,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/16_2022美联储激进加息周期/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0028,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/宏观危机篇/17_1980-2000黄金熊市_反面案例/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0029,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/01_1923魏玛德国恶性通胀/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0030,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/02_2008津巴布韦恶性通胀/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0031,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/03_2015-2021委内瑞拉玻利瓦尔/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0032,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/04_2018土耳其里拉危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0033,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/05_2019-2023黎巴嫩镑崩溃/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0034,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/06_2022-2024尼日利亚奈拉崩溃/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0035,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/07_2022-2024埃及镑贬值/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0036,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/08_2010-2025伊朗里亚尔/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0037,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/09_2023-2024阿根廷比索危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0038,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/货币崩溃篇/10_1998俄罗斯卢布危机/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0039,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/01_MTN尼日利亚/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0040,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/02_雀巢尼日利亚/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0041,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/03_ABInBev阿根廷/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0042,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/04_传音控股/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0043,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/05_华为/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0044,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/06_雷诺法兴俄罗斯退出/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0045,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/07_IATA航司被困资金/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
