asset_id,archive_run_id_v10,old_download_status,title,publisher,category,evidence_grade,redistribution_scope,content_type,required_fields,data_usage,preferred_endpoint,request_parameters,extraction_method,raw_local_path,extracted_local_path,target_table,smartbi_page,acceptance_rule,replacement_source,acquisition_state,content_state,extraction_state,formal_use_state,failure_reason,owner,next_action,final_status,reviewed_at
LCL-0001,20260816_research_archive_v1,EXCLUDED_SECRET,~$XH-202612比赛硬性要求与评分标准_含技术方案.xlsx,项目已有资料,01_比赛与项目基线,内部,metadata_only,NOT_ACQUIRED,source_registry: 平台版本、导入能力、ETL、模型、AIChat、XML、评分条款；case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,确认赛题约束、评分规则、项目边界和原始需求。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,表头、工作表、单位、日期、主键和来源字段解析,,,source_registry | case_evidence,通用交付与评分证据 | DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,,NOT_APPLICABLE,NOT_ACQUIRED,FAILED,EXCLUDED,Cookie、认证痕迹或Office锁文件不属于研究资料，禁止封装。,B,仅保留元数据；正式分析改用许可允许的权威替代源。,NOT_APPLICABLE|NOT_ACQUIRED|FAILED|EXCLUDED,2026-08-16T09:22:23.174Z
LCL-0081,20260816_research_archive_v1,ALREADY_LOCAL_VERIFIED,最终数据.zip,项目已有资料,01_比赛与项目基线,内部,metadata_only,NOT_ACQUIRED,source_registry: 平台版本、导入能力、ETL、模型、AIChat、XML、评分条款；case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,确认赛题约束、评分规则、项目边界和原始需求。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,,,source_registry | case_evidence,通用交付与评分证据 | DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,,NOT_ACQUIRED,NOT_ACQUIRED,FAILED,EXCLUDED,,B,仅保留元数据；正式分析改用许可允许的权威替代源。,NOT_ACQUIRED|NOT_ACQUIRED|FAILED|EXCLUDED,2026-08-16T09:22:23.182Z
LCL-0119,20260816_research_archive_v1,DUPLICATE_CONTENT,01_金银传导链.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_silver_chinese_previews/01_金银传导链.png,,case_evidence,DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0105,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0105,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.185Z
LCL-0120,20260816_research_archive_v1,DUPLICATE_CONTENT,02_金银因素表.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_silver_chinese_previews/02_金银因素表.png,,case_evidence,DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0106,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0106,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.186Z
LCL-0123,20260816_research_archive_v1,DUPLICATE_CONTENT,06_SGE原始日行情.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,asset_monthly_return: 月份、资产、计价口径、价格、收益、成本、来源版本；case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_factor_previews/06_SGE原始日行情.png,,asset_monthly_return | case_evidence,DB04 多币种—黄金周期实验室 | DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0095,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0095,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.186Z
LCL-0124,20260816_research_archive_v1,DUPLICATE_CONTENT,07_FRED日度原始.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,asset_monthly_return: 月份、资产、计价口径、价格、收益、成本、来源版本；case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_factor_previews/07_FRED日度原始.png,,asset_monthly_return | case_evidence,DB04 多币种—黄金周期实验室 | DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0096,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0096,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.186Z
LCL-0125,20260816_research_archive_v1,DUPLICATE_CONTENT,08_CFTC周度持仓.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_factor_previews/08_CFTC周度持仓.png,,case_evidence,DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0097,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0097,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.186Z
LCL-0126,20260816_research_archive_v1,DUPLICATE_CONTENT,09_金银月度主表.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_factor_previews/09_月度研究主表.png,,case_evidence,DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0098,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0098,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.186Z
LCL-0127,20260816_research_archive_v1,DUPLICATE_CONTENT,10_GPR月度.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_factor_previews/10_GPR月度.png,,case_evidence,DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0099,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0099,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.186Z
LCL-0129,20260816_research_archive_v1,DUPLICATE_CONTENT,12_来源与口径.png,项目已有资料,10_数据集原件与说明,内部,shared,LOCAL_ASSET,case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,按MIME与用途读取,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/gold_silver_chinese_previews/12_来源与口径.png,,case_evidence,DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,LCL-0116,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,REPLACED,,B,使用替代来源：LCL-0116,ACQUIRED|LOCAL_ASSET|NOT_REQUIRED|REPLACED,2026-08-16T09:22:23.187Z
LCL-0148,20260816_research_archive_v1,EXCLUDED_SECRET,~$China_Mainland_Paper_EPU.xlsx,项目已有资料,10_数据集原件与说明,内部,metadata_only,NOT_ACQUIRED,case_evidence: 案例ID、事件簇、命题角色、关键事实、来源等级、页码、复核状态,保存既有原始数据、代理数据、质量检查、字段说明和复现记录。,,公开GET；具体API查询参数在正式source_registry冻结；禁止认证信息落盘。,表头、工作表、单位、日期、主键和来源字段解析,,,case_evidence,DB05 决策、约束与证据中心,取得状态、内容可用性、提取状态和正式用途四态齐全；不得单独支撑核心结论。,,NOT_APPLICABLE,NOT_ACQUIRED,FAILED,EXCLUDED,Cookie、认证痕迹或Office锁文件不属于研究资料，禁止封装。,B,仅保留元数据；正式分析改用许可允许的权威替代源。,NOT_APPLICABLE|NOT_ACQUIRED|FAILED|EXCLUDED,2026-08-16T09:22:23.188Z
