column_1,column_2
Russia’s invasion of Ukraine: Implications for energy markets and activity,"June 2022, Special Focus 2"
Commodity price cycles: Drivers and policies,"Jan. 2022, Chapter 3"
Reforms after the 2014-16 oil price plunge,"June 2020, Box 4.1"
Adding fuel to the fire: Cheap oil in the pandemic,"June 2020, Chapter 4"
The role of major emerging markets in global commodity demand,"June 2018, SF 1"
The role of the EM7 in commodity production,"June 2018, Box SF1.1"
Commodity consumption: Implications of government policies,"June 2018, Box SF1.2"
With the benefit of hindsight: The impact of the 2014–16 oil price collapse,"Jan. 2018, SF 1"
From commodity discovery to production: Vulnerabilities and policies in LICs,"Jan. 2016, SF"
After the commodities boom: What next for low-income countries?,"June 2015, SF 2"
Low oil prices in perspective,"June 2015, Box 1.2"
Understanding the plunge in oil prices: Sources and implications,"Jan. 2015, Chapter 4"
What do we know about the impact of oil prices on output and inflation? A brief survey,"Jan. 2015, Box 4.1"
