asset_id,title,publisher,evidence_grade,download_status,canonical_url,missing_reason,next_action,license_name,license_url
LCL-0001,~$XH-202612比赛硬性要求与评分标准_含技术方案.xlsx,项目已有资料,内部,EXCLUDED_SECRET,,Cookie、认证痕迹或Office锁文件不属于研究资料，禁止封装。,保持旧文件不动；不得复制到任何交接包。,项目内部资料或随附原始许可,
LCL-0148,~$China_Mainland_Paper_EPU.xlsx,项目已有资料,内部,EXCLUDED_SECRET,,Cookie、认证痕迹或Office锁文件不属于研究资料，禁止封装。,保持旧文件不动；不得复制到任何交接包。,项目内部资料或随附原始许可,
LCL-0162,weebly_cookies.txt,项目已有资料,内部,EXCLUDED_SECRET,,Cookie、认证痕迹或Office锁文件不属于研究资料，禁止封装。,保持旧文件不动；不得复制到任何交接包。,项目内部资料或随附原始许可,
LCL-0163,~$论文数据来源与复现清单.xlsx,项目已有资料,内部,EXCLUDED_SECRET,,Cookie、认证痕迹或Office锁文件不属于研究资料，禁止封装。,保持旧文件不动；不得复制到任何交接包。,项目内部资料或随附原始许可,
WEB-0001,5. 中国建设银行，2013年8月，《2013年上半年黄金市场回顾与预判》——6月20日美联储声明后金价单日跌5%,ccb.com,D,METADATA_ONLY_LICENSE,http://ccb.com/cn/ccbtoday/jhbkhb/20130813_1376363753.html,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0003,"4. 人民网财经，2013年4月22日，""黄金暴跌美联储和高盛难逃操纵嫌疑""——4月12日-5.03%、4月15日-9.09%为30年最大单日跌幅",finance.people.com.cn,D,METADATA_ONLY_LICENSE,http://finance.people.com.cn/stock/n/2013/0422/c67815-21224610.html,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0004,贷后预警信号清单（120 项）,mp.weixin.qq.com,D,METADATA_ONLY_LICENSE,http://mp.weixin.qq.com/s?__biz=MzA5MzEwODIxMQ%3D%3D&mid=2247576958&idx=1&sn=05edc03f5edfd6117c09ff9d91fdf54b,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0005,purl.org 来源资料（WEB-0005）,purl.org,D,METADATA_ONLY_LICENSE,http://purl.org/dc/dcmitype,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0006,purl.org 来源资料（WEB-0006）,purl.org,D,METADATA_ONLY_LICENSE,http://purl.org/dc/elements/1.1,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0007,purl.org 来源资料（WEB-0007）,purl.org,D,METADATA_ONLY_LICENSE,http://purl.org/dc/terms,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0009,经济观察网，2021,www.eeo.com.cn,D,METADATA_ONLY_LICENSE,http://www.eeo.com.cn/2021/0927/506013.shtml,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0010,《金融研究》论文,www.jryj.org.cn,D,METADATA_ONLY_LICENSE,http://www.jryj.org.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=1090,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0012,票据承兑资讯，2022,www.piaofengzixun.com,D,METADATA_ONLY_LICENSE,http://www.piaofengzixun.com/2022/02/23/hdspyqfromsupplier,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0014,o4509683932790784.ingest.us.sentry.io 来源资料（WEB-0014）,o4509683932790784.ingest.us.sentry.io,D,METADATA_ONLY_LICENSE,https://a2c411febe86730926faad4b2d1c901d@o4509683932790784.ingest.us.sentry.io/4509709887864832,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0015,"解释变量,ACI,Actuaries Climate Index，区域/季节聚合规则未说明,2022-02-01至2025-02-28,图示阶梯,Actuaries Climate Index,",actuariesclimateindex.org,D,MANUAL_ACTION_REQUIRED,https://actuariesclimateindex.org/data,,由用户阅读并接受来源条款后人工下载；登记文件哈希和许可范围。,需人工接受条款或确认许可,https://actuariesclimateindex.org/data
WEB-0017,2. 尼日利亚 8.1–8.5 亿美元与阿联酋航空停飞拉各斯（2023-06）：Reuters/African Business 2023 年报道,african.business,D,METADATA_ONLY_LICENSE,https://african.business/,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0018,African Business，2024,african.business,D,METADATA_ONLY_LICENSE,https://african.business/2024/06/trade-investment/nigeria-clears-98-of-blocked-airline-funds-says-iata,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0019,ai.heywhale.com 来源资料（WEB-0019）,ai.heywhale.com,D,MANUAL_ACTION_REQUIRED,https://ai.heywhale.com/,,由用户阅读并接受来源条款后人工下载；登记文件哈希和许可范围。,需人工接受条款或确认许可,https://ai.heywhale.com/
WEB-0021,5. 美联社（AP News），2026，《Lebanon's economic crisis: Gold reserves as a lifeline?》——央行 286.8 吨黄金储备及 1986 年禁售法。,apnews.com,D,METADATA_ONLY_LICENSE,https://apnews.com/article/lebanon-gold-economy-banking-crisis-reserves-hedge-630f1da3b391d83aa1124be22c1de9fd,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0022,财务分析通行标准,baike.baidu.com,D,METADATA_ONLY_LICENSE,https://baike.baidu.com/item/%E8%B5%84%E4%BA%A7%E8%B4%9F%E5%80%BA%E7%8E%87/2429745,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0023,百度百科·Z值预警,baike.baidu.com,D,METADATA_ONLY_LICENSE,https://baike.baidu.com/item/Z%E5%80%BC%E9%A2%84%E8%AD%A6/10007705,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0024,6. BestFolio / Cresset Capital（2026）：1970 年代滞胀期美股复盘（标普 500 1973–74 下跌约 48%、实际回报至 1993 年才收复 1968 年高点），,bestfolio.app,D,METADATA_ONLY_LICENSE,https://bestfolio.app/blog/taa-market-crises-protection,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0025,Blockworks，2021,blockworks.com,D,METADATA_ONLY_LICENSE,https://blockworks.com/news/palantir-buys-50-7-million-in-gold-bars-to-hedge-black-swan-event,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0027,"4. Bullion Exchanges，《Gold Crisis 2008 Explained: Drop, Recovery, and Rally Path》，2026年，",bullionexchanges.com,D,METADATA_ONLY_LICENSE,https://bullionexchanges.com/blog/gold-2008-crisis-explained-from-selloff-to-historic-rally,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0028,清晖智库，2018,business.sohu.com,D,METADATA_ONLY_LICENSE,https://business.sohu.com/20181029/n553647212.shtml,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0029,Business Insider NG，2025,businessinsiderng.com,D,METADATA_ONLY_LICENSE,https://businessinsiderng.com/mtn-in-a-fix-records-n400-4bn-loss-in-2024,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0030,cdn.kesci.com 来源资料（WEB-0030）,cdn.kesci.com,D,METADATA_ONLY_LICENSE,https://cdn.kesci.com/default_img_lib,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0031,8. 被困资金（blocked funds）数据：IATA/CAPA 尼日利亚 8.5 亿美元报道,centreforaviation.com,D,METADATA_ONLY_LICENSE,https://centreforaviation.com/news,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0032,IATA/CAPA，2024,centreforaviation.com,D,METADATA_ONLY_LICENSE,https://centreforaviation.com/news/iata-blocked-airline-funds-drop-28-since-dec-2023-situation-severe-in-pakistan-and-bangladesh-1266064,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0033,"目标价格,WGC/Global黄金价格,论文所谓WGC或Global市场金价，具体定盘价/时点未给出,2022-02-01至2025-02-28,日频/含非交易日,World Gold Council/Goldhub,",World Gold Council,D,METADATA_ONLY_LICENSE,https://china.gold.org/goldhub/data/gold-prices,,保留元数据和原链接，不抓取或再分发正文。,限制抓取或再分发,https://www.gold.org/terms-and-conditions
WEB-0034,8. 比特币 2022 年 -65%：CoinMarketCap 年度数据,coinmarketcap.com,D,METADATA_ONLY_LICENSE,https://coinmarketcap.com/currencies/bitcoin,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0035,7. 比特币 2020-03-12 单日 -40%：CoinMarketCap 历史数据,coinmarketcap.com,D,METADATA_ONLY_LICENSE,https://coinmarketcap.com/currencies/bitcoin/historical-data,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0036,3. 阿联酋（约 96.4 吨）与香港（约 88 吨）承接俄金：贸易数据（UN Comtrade / 港府统计处）及 Reuters 报道,comtradeplus.un.org,D,METADATA_ONLY_LICENSE,https://comtradeplus.un.org/,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0037,ropy (Basel)</abbrev-journal-title </journal-title-group <publisher <publisher-name Multidisciplinary Digital Publishing Institute (MDPI)</publishe...,creativecommons.org,D,METADATA_ONLY_LICENSE,https://creativecommons.org/licenses/by/4.0,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0038,http cookies,curl.se,D,METADATA_ONLY_LICENSE,https://curl.se/docs/http-cookies.html,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0041,7. 移民人数：联合国难民署（UNHCR）,data.unhcr.org,D,METADATA_ONLY_LICENSE,https://data.unhcr.org/en/situations/vensitu,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0047,逐指标核验. 2026. url:,World Bank,B,BROKEN_OR_UNREACHABLE,https://datacatalog.worldbank.org/search/dataset,HTTP 404,原链接不可用或不适合自动归档；使用已验证替代资产 WEB-0048。,World Bank数据条款/CC BY 4.0，第三方内容例外,https://data.worldbank.org/summary-terms-of-use
WEB-0051,"2. Statista（汇编帝国银行数据），""金马克对纸马克价值1922–1923""，2024。",de.statista.com,D,METADATA_ONLY_LICENSE,https://de.statista.com/statistik/daten/studie/281794/umfrage/hyperinflation-in-der-weimarer-republik,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0052,Discovery Alert，2026,discoveryalert.com.au,D,METADATA_ONLY_LICENSE,https://discoveryalert.com.au/currency-crises-central-bank-gold-liquidation-2026,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0053,"6. Discovery Alert，""Gold & Oil Embargo: Historic and Modern Impact on Gold Prices""（2026，引用 CPI 峰值 14.8% 来自 Federal Reserve History），",discoveryalert.com.au,D,METADATA_ONLY_LICENSE,https://discoveryalert.com.au/gold-oil-embargo-impact-gold-prices-inflation-fed,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0054,10.16511/j.cnki.qhdxxb.2023.21.008.pdf),doi.org,D,FETCH_FAILED,https://doi.org/10.16511/j.cnki.qhdxxb.2023.21.008.pdf,HTTP_500,原链接不可用或不适合自动归档；使用已验证替代资产 WEB-0384。,公开可访问但再分发范围未完全确认，仅本机归档,
WEB-0055,10.3386/w18706.,doi.org,D,METADATA_ONLY_LICENSE,https://doi.org/10.3386/w18706,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0056,10.3390/e28030271,doi.org,D,METADATA_ONLY_LICENSE,https://doi.org/10.3390/e28030271,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0057,9. 美元化程度：Ecoanalítica,ecoanalitica.com,D,METADATA_ONLY_LICENSE,https://ecoanalitica.com/,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0058,"7. ""三驾马车""救助规模：欧盟委员会财政事务文件",economy-finance.ec.europa.eu,D,METADATA_ONLY_LICENSE,https://economy-finance.ec.europa.eu/,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0059,"3. Yale Program on Financial Stability, K. Nygaard, ""The Federal Reserve's Response to the 1987 Market Crash""（2020）：美联储四项应对措施与流动性注入。",elischolar.library.yale.edu,D,METADATA_ONLY_LICENSE,https://elischolar.library.yale.edu/cgi/viewcontent.cgi?article=1109&context=journal-of-financial-crises,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0061,"14 Shanghai Gold Exchange, Shanghai Gold Benchmark Price,",en.sge.com,B,METADATA_ONLY_LICENSE,https://en.sge.com/,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
WEB-0062,同花顺财经，2025-11,field.10jqka.com.cn,D,METADATA_ONLY_LICENSE,https://field.10jqka.com.cn/20251105/c672268440.shtml,,保留元数据和原链接，不抓取或再分发正文。,许可未明确，默认仅保存元数据,
