Date,Actions
September and December 2020,Federal Open Market Committee (FOMC) laid out guidance for raising the federal funds rate off the zero lower bound and for tapering asset purchases.
April 2021,FOMC statement introduced language that inflation was due to “transitory factors.”
November 2021,Fed began tapering asset purchases.
December 2021,FOMC removed “transitory” language from the statement.
The Committee accelerated pace of tapering and signaled the tapering pace would likely mean the end of purchases in March 2022.
January 2022,FOMC statement indicated that the Committee expected it would soon raise the target range.
Fed released Principles for Reducing the Size of the Federal Reserve’s Balance Sheet.
March 2022,Fed ended asset purchases.
FOMC lifted the target range from the effective lower bound.
May 2022,FOMC released detailed plans for significantly reducing the size of the Fed’s balance sheet (consistent with January Principles).
June 2022,Fed began reducing its holdings of securities.
March 2022 – June 2023,10 rate hikes varying in size from 25 to 75 basis points.
The target range moved from 0 to 0.25 percent to 5.0 to 5.25 percent.
