criterion_id,score_group,original_requirement_summary,project_response,required_data,source_ids,output_table_or_artifact,processing_script,smartbi_output,smartbi_page,acceptance_metric,owner,status
S1.1,问题价值与现实意义,权威资料证明真实痛点并明确影响范围,商务部覆盖规模、国别危机、企业财报损失,商务部覆盖规模、国别危机、企业财报损失,WEB-0344；case_evidence对应A级/双B级来源,country_exposure、country_event、company_overseas_exposure,03_import_mofcom.py；09_detect_crisis_events.py,问题规模KPI、投资—风险四象限、企业损失卡,DB01/DB03,至少1项权威规模数字；每个核心损失可追溯页码；不得把计划值写成完成值,A/D,PARTIAL_REUSABLE
S1.2,问题价值与现实意义,明确目标用户、应用场景和至少一条落地路径,总部财资、区域财资中心、境外子公司财务与风险岗位,总部财资、区域财资中心、境外子公司财务与风险岗位,V4.2用户访谈模板与Smartbi平台实测记录,用户任务卡、pilot_acceptance,D0_scope_signoff；D11用户任务验收,管理层风险简报、国别下钻、配置实验室,DB01—DB06,完成1个企业或行业试点脚本；10分钟内完成指定决策任务,A/D,NOT_STARTED
S1.3,问题价值与现实意义,证明数据驱动必要性、合法稳定可获取，并与传统经验决策比较,固定30项人工月报任务与平台任务的时间、正确率、追溯率、预警提前量,固定30项人工月报任务与平台任务的时间、正确率、追溯率、预警提前量,source_registry许可与接口；V1.1动作清单,benchmark_result、source_registry,12_generate_qa_report.py,传统方式与平台方式对照页,DB05/智能报告,不预填提升率；实测后报告，核心源均有许可和获取证据,B/C,PARTIAL_REUSABLE
S2.1,数据分析方法与技术应用,完整获取、清洗、整合流程、清洗规则、主外键及主题模型,11张权威表、6维表、桥表、四态来源登记、拒绝表,11张权威表、6维表、桥表、四态来源登记、拒绝表,V1.1原件与提取记录,11张逻辑表及QA表,D0—D10脚本链,ETL流程和数据模型,Smartbi自助ETL/业务主题,主键重复率0；核心字段阈值达标；异常不静默删除,B/C,PARTIAL_REUSABLE
S2.2,数据分析方法与技术应用,科学使用统计、归因、RAG等方法并说明背景和结果,事件研究、双向固定效应、风险评分、周期多标签、压力测试、证据RAG,事件研究、双向固定效应、风险评分、周期多标签、压力测试、证据RAG,country_event、global_cycle_month、case_evidence,模型输出与方法卡,09_detect_crisis_events.py；10_run_portfolio_scenarios.py,方法解释与反例,DB02/DB04/DB06/AIChat,结论只表述历史相关性与情景结果；挑战模型不稳时标模型敏感,C/A,NOT_STARTED
S2.3,数据分析方法与技术应用,量化Smartbi核心功能实现数量,6页看板、25问AIChat、1套智能报告、数据洞察,6页看板、25问AIChat、1套智能报告、数据洞察,Smartbi平台实测和导入包,Smartbi资源/XML,11_export_smartbi_workbooks.py,六页看板及录屏,Dashboard/AIChat/智能报告/数据洞察,六页、25问、1份报告全部有验收卡和截图,A/D,NOT_STARTED
S2.4,数据分析方法与技术应用,性能优化至少5%，数据获取从T+1提升到小时或分钟级,全量与增量运行时间、官方发布到raw落盘延迟,全量与增量运行时间、官方发布到raw落盘延迟,run_manifest、来源发布日期和抓取时间,pipeline_performance,run_pipeline.py --mode full/incremental,性能KPI,DB05,增量运行较全量或人工基线至少快5%；可增量源发布后60分钟内落盘,B/C,NOT_STARTED
S3.1,可视化呈现与交互体验,仪表板逻辑清晰、重点突出且美观易读,统一颜色、KPI、预警、结论卡、可信度和限制,统一颜色、KPI、预警、结论卡、可信度和限制,六页页面合同,dashboard_visual_qa,D11视觉验收,六页看板,Dashboard,逐页截图；标题、结论、KPI和预警层级清晰,D/A,NOT_STARTED
S3.2,可视化呈现与交互体验,图形类型与数据特征和分析目标匹配,类别条形、趋势折线、结构堆叠、地理热力、事件时间轴,类别条形、趋势折线、结构堆叠、地理热力、事件时间轴,数据字典与图表绑定,chart_binding,D11图表验收,图表字段映射表,DB01—DB06,每图均记录来源表、字段、计算、筛选、下钻和预期结论,D/C,NOT_STARTED
S3.3,可视化呈现与交互体验,支持下钻、联动、筛选、动态更新且响应不超过10秒,地区、国家、企业、周期、事件、资产和计价口径筛选,地区、国家、企业、周期、事件、资产和计价口径筛选,性能测试脚本,interaction_test,D11性能测试,交互录屏与时延表,Dashboard,典型操作P95不超过10秒，无意外行数膨胀,D/B,NOT_STARTED
