"work_item_id","stage","status","evidence_path","evidence_sha256","completed_at","owner","next_action","acceptance_rule","blocker","dependency"
"ARCHIVE-R0","调研归档","COMPLETE_VERIFIED","调研资料归档_V1.0/12_复现脚本与运行记录/run_manifest.json","7152df333b7a4852e393d0702e4a142ce4abae5e194f382f75139c0a38255ecb","2026-08-16","A/D","把归档V1.0作为不可变证据快照，不重复扫描旧项目。","688项资产全部取得唯一终态且包QA通过。","NONE","NONE"
"ARCHIVE-R1","来源闭包","COMPLETE_VERIFIED","调研资料归档_V1.0/00_交接入口/研究资料总清单.jsonl","5c4fdd189e32160f4e06494f3390467196e23f99f1b5603fbdc2248befc658ac","2026-08-16","B/D","正式使用前按证据等级、许可和字段需要逐项复核。","688项终态之和等于资产总数。","NONE","ARCHIVE-R0"
"ARCHIVE-R2","案例索引","COMPLETE_VERIFIED","调研资料归档_V1.0/03_案例库与证据/case_index.csv","70f8984bc9050d9ab51fca5a1ac0c8c5ba464455c4b428b838569febe8f7a1e9","2026-08-16","D/A","把45份来源链接索引转换为V4.1 case_evidence字段并复核页码。","45个case_id均有事件簇、原文件和来源数量。","NONE","ARCHIVE-R1"
"EXT-01","受限来源人工路由","EXTERNAL_ACTION","调研资料归档_V1.0/00_交接入口/缺失受限与待办清单.csv","e4a616df1eb0e73059c509c927b70d7b0d06b4f8aaa93f1b3cffbfc2621949ea","2026-08-16","A/B","按正式字段需要处理16项人工动作和15项登录或付费限制；未获授权则使用替代源或缩小承诺。","每项受限来源均有负责人、合法操作、替代源或明确排除决定。","USER_AUTHORIZATION_OR_LICENSE_REQUIRED","ARCHIVE-R1"
"SMARTBI-S0","平台只读盘点","COMPLETE_VERIFIED","计划书/05_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书.tex#主办方Smartbi实例实测","17b6c8dce3637ba949c1583ff2d7f788053b3591ca3b1987f49956b99d79c293","2026-08-16","A","取得写入范围确认后执行P0四表小样。","实例版本、可见模块、共享环境边界已经记录。","WRITE_SCOPE_NOT_APPROVED","NONE"
"D0","研究口径冻结","PARTIAL_REUSABLE","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D0","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","2026-08-16","A","签署G0并生成V4.1配置文件、变更单和首个正式run_manifest。","配置、阈值、主键、时期和责任人签字完成。","FORMAL_SIGNOFF_NOT_COMPLETED","ARCHIVE-R0"
"D1","130国主数据","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D1","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/D","G0通过后建立恰好130个唯一ISO3的国家主表。","区域45/51/34及必填字段完整率100%。","D0_NOT_SIGNED","D0"
"D2","来源登记与原始层","PARTIAL_REUSABLE","00_当前项目交接_V4.1/SOURCE_REUSE_CROSSWALK_V4.1.csv","23806cf22ac20543ad1049813f92c1a51556a7f42cda39d8a933661cff47e269","2026-08-16","B/D","先导入688项跨表映射，再只补采正式字段仍缺少的来源。","688项全部映射且新增来源有许可、哈希和运行号。","FORMAL_SOURCE_REGISTRY_NOT_BUILT","D0|ARCHIVE-R1"
"D3","130国投资覆盖","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D3","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/A","基于D1和D2构建country_exposure。","国家年份主键无重复，存在性判断来源覆盖100%。","D1_D2_NOT_COMPLETE","D1|D2"
"D4","候选国月度宏观","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D4","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/C","采集汇率与CPI等真实月度候选序列。","覆盖矩阵能够独立复算。","D3_NOT_COMPLETE","D3"
