case_id,event_cluster_id,case_path,local_asset_id,source_count,verification_status
CASE-001,EVT-RUS-2022,案例库/地缘冲突与制裁篇/01_2022俄乌冲突-外储冻结/案例档案.md,LCL-0003,7,SOURCE_LINKS_INDEXED
CASE-002,EVT-RUS-2022,案例库/地缘冲突与制裁篇/02_2022俄罗斯黄金制裁免疫/案例档案.md,LCL-0004,7,SOURCE_LINKS_INDEXED
CASE-003,EVT-03_2024以色列-伊朗冲突,案例库/地缘冲突与制裁篇/03_2024以色列-伊朗冲突/案例档案.md,LCL-0005,6,SOURCE_LINKS_INDEXED
CASE-004,EVT-IRN-TUR-2012-2013,案例库/地缘冲突与制裁篇/04_2012-2013土耳其-伊朗黄金换天然气/案例档案.md,LCL-0006,6,SOURCE_LINKS_INDEXED
CASE-005,EVT-VEN-2019-GOLD,案例库/地缘冲突与制裁篇/05_2019委内瑞拉伦敦黄金冻结/案例档案.md,LCL-0007,6,SOURCE_LINKS_INDEXED
CASE-006,EVT-06_2014克里米亚危机-卢布暴跌,案例库/地缘冲突与制裁篇/06_2014克里米亚危机-卢布暴跌/案例档案.md,LCL-0008,9,SOURCE_LINKS_INDEXED
CASE-007,EVT-07_2018特朗普对伊制裁,案例库/地缘冲突与制裁篇/07_2018特朗普对伊制裁/案例档案.md,LCL-0009,2,SOURCE_LINKS_INDEXED
CASE-008,EVT-08_2023苏丹内战黄金经济,案例库/地缘冲突与制裁篇/08_2023苏丹内战黄金经济/案例档案.md,LCL-0010,4,SOURCE_LINKS_INDEXED
CASE-009,EVT-01_1929大萧条,案例库/宏观危机篇/01_1929大萧条/案例档案.md,LCL-0012,6,SOURCE_LINKS_INDEXED
CASE-010,EVT-02_1933罗斯福黄金新政,案例库/宏观危机篇/02_1933罗斯福黄金新政/案例档案.md,LCL-0013,6,SOURCE_LINKS_INDEXED
CASE-011,EVT-03_1971布雷顿森林解体,案例库/宏观危机篇/03_1971布雷顿森林解体/案例档案.md,LCL-0014,6,SOURCE_LINKS_INDEXED
CASE-012,EVT-04_1973-1980滞胀大牛市,案例库/宏观危机篇/04_1973-1980滞胀大牛市/案例档案.md,LCL-0015,6,SOURCE_LINKS_INDEXED
CASE-013,EVT-06_1987黑色星期一,案例库/宏观危机篇/06_1987黑色星期一/案例档案.md,LCL-0016,8,SOURCE_LINKS_INDEXED
CASE-014,EVT-07_1997亚洲金融危机,案例库/宏观危机篇/07_1997亚洲金融危机/案例档案.md,LCL-0017,7,SOURCE_LINKS_INDEXED
CASE-015,EVT-08_2000互联网泡沫,案例库/宏观危机篇/08_2000互联网泡沫/案例档案.md,LCL-0018,5,SOURCE_LINKS_INDEXED
CASE-016,EVT-09_2008全球金融危机,案例库/宏观危机篇/09_2008全球金融危机/案例档案.md,LCL-0019,6,SOURCE_LINKS_INDEXED
CASE-017,EVT-10_1990日本资产泡沫破裂,案例库/宏观危机篇/10_1990日本资产泡沫破裂/案例档案.md,LCL-0020,7,SOURCE_LINKS_INDEXED
CASE-018,EVT-11_1994墨西哥龙舌兰危机,案例库/宏观危机篇/11_1994墨西哥龙舌兰危机/案例档案.md,LCL-0021,8,SOURCE_LINKS_INDEXED
CASE-019,EVT-11_2013黄金暴跌（反面案例）,案例库/宏观危机篇/11_2013黄金暴跌（反面案例）/案例档案.md,LCL-0022,8,SOURCE_LINKS_INDEXED
CASE-020,EVT-RUS-1998,案例库/宏观危机篇/12_1998俄罗斯金融危机/案例档案.md,LCL-0023,7,SOURCE_LINKS_INDEXED
CASE-021,EVT-13_2001阿根廷债务危机,案例库/宏观危机篇/13_2001阿根廷债务危机/案例档案.md,LCL-0024,7,SOURCE_LINKS_INDEXED
CASE-022,EVT-14_2010欧洲主权债务危机,案例库/宏观危机篇/14_2010欧洲主权债务危机/案例档案.md,LCL-0025,7,SOURCE_LINKS_INDEXED
CASE-023,EVT-15_2020疫情全球市场崩盘,案例库/宏观危机篇/15_2020疫情全球市场崩盘/案例档案.md,LCL-0026,6,SOURCE_LINKS_INDEXED
CASE-024,EVT-16_2022美联储激进加息周期,案例库/宏观危机篇/16_2022美联储激进加息周期/案例档案.md,LCL-0027,9,SOURCE_LINKS_INDEXED
CASE-025,EVT-17_1980-2000黄金熊市_反面案例,案例库/宏观危机篇/17_1980-2000黄金熊市_反面案例/案例档案.md,LCL-0028,7,SOURCE_LINKS_INDEXED
CASE-026,EVT-01_1923魏玛德国恶性通胀,案例库/货币崩溃篇/01_1923魏玛德国恶性通胀/案例档案.md,LCL-0029,5,SOURCE_LINKS_INDEXED
