Author,Factor,Research_Methodology,Conclusion
Huang (2010) [7],US dollar index,-,"There is a negative correlation between the price of gold and the US dollar index, and there is no cointegration relationship."
Xie (2010) [8],US dollar index,Cointegration equation,There is a little bit of cointegration between the world gold price and the US dollar.
Dan (2009) [9],CPI,The Phillips expanding curve equation and the method of least squares estimation,"The price of gold plays a role in forecasting the inflation, and can be used as a reference to indicate the economic trends and the changes of the inflation fluctuations."
Zhu (2018) [10],Monetary policy,-,"The Federal Reserve and the European Central Bank have had a large impact on the gold price, while the monetary policies of the Bank of England and the Bank of Japan have had no significant impact on the gold price."
Zhou (2025) [11],Geopolitical risk,The log-periodic power law singularity (LPPLS) model,"A significant relationship between GPR and gold price bubbles, particularly with GPRA, which exerts a stronger influence than GPRT does."
Apergis (2019) [12],Effective interest rate,VECM,There is a positive correlation between the price of gold and real interest rates.
Kanjilal (2017) [13],Crude oil,Dual-mechanism threshold vector error correction Model,The relationship between gold and oil prices is nonlinear and asymmetric.
Zhang (2010) [14],Crude oil price,-,The price of oil is positively linked to the price of gold in most cases.
Zhu (2023) [15],Climate risk,Predictive modeling and STL decomposition,Gold price volatility is negatively correlated with physical risk.
Soni (2023) [16],EPU,Wavelet Method,"In the short to medium term, gold prices are positively correlated with EPU, but the effect is not significant; in the long term, EPU has a positive impact on gold prices."
Luo (2022) [17],Investor sentiment,Infinite Hidden Markov (IHM) transformation model within a Heterogeneous Autoregressive (HAR),The predictive role of investor sentiment-related factors in improving the accuracy of forecasting commodity volatility dynamics.
